===== leak_durable 13-value sweep (authoritative) =====
ld       seeds  problems  lam*    gain*    left     right    ctrl_lft  share     verdict
0.012    40     25        0.3     0.5659   0.438    0.3008   0.0594    0.8645    SUPPORTED
0.05     40     25        0.3     0.5626   0.4199   0.2971   0.0806    0.8081    SUPPORTED
0.10     40     25        0.3     0.5618   0.4149   0.2964   0.1161    0.7201    SUPPORTED
0.20     40     25        0.3     0.5696   0.4188   0.3044   0.2023    0.5170    SUPPORTED
0.22     40     25        0.3     0.572    0.4227   0.3063   0.2179    0.4845    REJECTED
0.25     40     25        0.3     0.5735   0.4257   0.3077   0.2356    0.4465    REJECTED
0.28     40     25        0.3     0.578    0.4279   0.3122   0.2493    0.4173    REJECTED
0.30     40     25        0.3     0.5802   0.4314   0.3139   0.2564    0.4055    REJECTED
0.40     40     25        0.3     0.5894   0.4402   0.323    0.2972    0.3247    REJECTED
0.45     40     25        0.3     0.5911   0.4407   0.3251   0.3105    0.2955    REJECTED
0.50     40     25        0.3     0.5937   0.4435   0.3276   0.3189    0.2809    REJECTED
0.60     40     25        0.3     0.5938   0.4451   0.3276   0.3323    0.2535    REJECTED
0.70     40     25        0.3     0.5966   0.4485   0.33     0.3376    0.2472    REJECTED

share min/max over 13 values = 0.2472 / 0.8645
lambda_star set over 13 values = [0.3]
n_ld_files = 13

===== m2_lambda_alr_summary.json (seeds=16, problems_per_learner=16) =====
optimum_lambda_by_gain = 0.3
min_alr_lambda = 0.8
proposition1_supported = True
lambda   alr_mean     earned_gain  leak_solve     dep           
0.0      0.8511       0.1202       0.6487         0.1702        
0.005    0.8413       0.1260       0.6421         0.1683        
0.01     0.8323       0.1325       0.6354         0.1665        
0.02     0.8087       0.1487       0.6214         0.1617        
0.03     0.7808       0.1673       0.5992         0.1562        
0.05     0.7234       0.2038       0.5609         0.1447        
0.08     0.6332       0.2570       0.4922         0.1266        
0.1      0.5615       0.2953       0.4381         0.1123        
0.15     0.3898       0.3778       0.3081         0.0780        
0.2      0.2487       0.4452       0.1988         0.0497        
0.25     0.1468       0.4933       0.1175         0.0294        
0.3      0.0828       0.5049       0.0692         0.0166        
0.35     0.0510       0.4816       0.0417         0.0102        
0.4      0.0300       0.4158       0.0243         0.0060        
0.45     0.0198       0.3118       0.0159         0.0040        
0.5      0.0110       0.2388       0.0086         0.0022        
0.6      0.0040       0.2074       0.0032         0.0008        
0.7      0.0010       0.2019       0.0008         0.0002        
0.8      0.0003       0.1993       0.0002         0.0001        
