delivery_damping,lambda,earned_gain
0.0,0.0,0.124417
0.0,0.005,0.133361
0.0,0.01,0.139500
0.0,0.02,0.154715
0.0,0.03,0.173007
0.0,0.05,0.211139
0.0,0.08,0.272778
0.0,0.1,0.312951
0.0,0.15,0.401715
0.0,0.2,0.475486
0.0,0.25,0.525049
0.0,0.3,0.552500
0.0,0.35,0.565472
0.0,0.4,0.575111
0.0,0.45,0.582111
0.0,0.5,0.585451
0.0,0.6,0.589028
0.0,0.7,0.590021
0.0,0.8,0.589375
0.25,0.0,0.124417
0.25,0.005,0.133257
0.25,0.01,0.139417
0.25,0.02,0.154437
0.25,0.03,0.172896
0.25,0.05,0.209062
0.25,0.08,0.269521
0.25,0.1,0.308236
0.25,0.15,0.393486
0.25,0.2,0.463333
0.25,0.25,0.508993
0.25,0.3,0.530750
0.25,0.35,0.542076
0.25,0.4,0.548368
0.25,0.45,0.549882
0.25,0.5,0.548333
0.25,0.6,0.541965
0.25,0.7,0.536910
0.25,0.8,0.529854
0.5,0.0,0.124417
0.5,0.005,0.132674
0.5,0.01,0.139549
0.5,0.02,0.154444
0.5,0.03,0.172153
0.5,0.05,0.207368
0.5,0.08,0.265694
0.5,0.1,0.303806
0.5,0.15,0.385681
0.5,0.2,0.453847
0.5,0.25,0.492792
0.5,0.3,0.506896
0.5,0.35,0.514271
0.5,0.4,0.515597
0.5,0.45,0.513056
0.5,0.5,0.507208
0.5,0.6,0.491069
0.5,0.7,0.471681
0.5,0.8,0.449701
0.75,0.0,0.124417
0.75,0.005,0.132924
0.75,0.01,0.139292
0.75,0.02,0.153674
0.75,0.03,0.172007
0.75,0.05,0.207111
0.75,0.08,0.264014
0.75,0.1,0.298243
0.75,0.15,0.377549
0.75,0.2,0.439132
0.75,0.25,0.477153
0.75,0.3,0.483271
0.75,0.35,0.484604
0.75,0.4,0.480931
0.75,0.45,0.473042
0.75,0.5,0.458069
0.75,0.6,0.426174
0.75,0.7,0.385674
0.75,0.8,0.341875
1.0,0.0,0.124417
1.0,0.005,0.132514
1.0,0.01,0.138521
1.0,0.02,0.152674
1.0,0.03,0.171458
1.0,0.05,0.204021
1.0,0.08,0.260819
1.0,0.1,0.296125
1.0,0.15,0.370389
1.0,0.2,0.425424
1.0,0.25,0.456778
1.0,0.3,0.457035
1.0,0.35,0.452736
1.0,0.4,0.440507
1.0,0.45,0.420868
1.0,0.5,0.397576
1.0,0.6,0.342931
1.0,0.7,0.271056
1.0,0.8,0.185556
1.25,0.0,0.124417
1.25,0.005,0.132819
1.25,0.01,0.138271
1.25,0.02,0.152181
1.25,0.03,0.169583
1.25,0.05,0.203562
1.25,0.08,0.256000
1.25,0.1,0.291590
1.25,0.15,0.359986
1.25,0.2,0.412271
1.25,0.25,0.437000
1.25,0.3,0.427674
1.25,0.35,0.413493
1.25,0.4,0.391486
1.25,0.45,0.363257
1.25,0.5,0.323361
1.25,0.6,0.232486
1.25,0.7,0.118097
1.25,0.8,0.029333
1.5,0.0,0.124417
1.5,0.005,0.132743
1.5,0.01,0.138187
1.5,0.02,0.151729
1.5,0.03,0.169563
1.5,0.05,0.200674
1.5,0.08,0.254417
1.5,0.1,0.286146
1.5,0.15,0.351097
1.5,0.2,0.396271
1.5,0.25,0.415771
1.5,0.3,0.393972
1.5,0.35,0.368181
1.5,0.4,0.333743
1.5,0.45,0.287722
1.5,0.5,0.227187
1.5,0.6,0.099097
1.5,0.7,0.020938
1.5,0.8,0.009639
