swept_constant,value,lambda,earned_gain
sharpness,0.02,0.0,0.119217
sharpness,0.02,0.005,0.125500
sharpness,0.02,0.01,0.133517
sharpness,0.02,0.02,0.146967
sharpness,0.02,0.03,0.169017
sharpness,0.02,0.05,0.197433
sharpness,0.02,0.08,0.256883
sharpness,0.02,0.1,0.295817
sharpness,0.02,0.15,0.373317
sharpness,0.02,0.2,0.444500
sharpness,0.02,0.25,0.489933
sharpness,0.02,0.3,0.509300
sharpness,0.02,0.35,0.510150
sharpness,0.02,0.4,0.403567
sharpness,0.02,0.45,0.230950
sharpness,0.02,0.5,0.191717
sharpness,0.02,0.6,0.196667
sharpness,0.02,0.7,0.192933
sharpness,0.02,0.8,0.191467
sharpness,0.04,0.0,0.119217
sharpness,0.04,0.005,0.125483
sharpness,0.04,0.01,0.133517
sharpness,0.04,0.02,0.146950
sharpness,0.04,0.03,0.169017
sharpness,0.04,0.05,0.197417
sharpness,0.04,0.08,0.258400
sharpness,0.04,0.1,0.295883
sharpness,0.04,0.15,0.372317
sharpness,0.04,0.2,0.442383
sharpness,0.04,0.25,0.483000
sharpness,0.04,0.3,0.495733
sharpness,0.04,0.35,0.476367
sharpness,0.04,0.4,0.403567
sharpness,0.04,0.45,0.301617
sharpness,0.04,0.5,0.226133
sharpness,0.04,0.6,0.198817
sharpness,0.04,0.7,0.194183
sharpness,0.04,0.8,0.191783
sharpness,0.08,0.0,0.120167
sharpness,0.08,0.005,0.126900
sharpness,0.08,0.01,0.133483
sharpness,0.08,0.02,0.148217
sharpness,0.08,0.03,0.166767
sharpness,0.08,0.05,0.200000
sharpness,0.08,0.08,0.255883
sharpness,0.08,0.1,0.294067
sharpness,0.08,0.15,0.365033
sharpness,0.08,0.2,0.429650
sharpness,0.08,0.25,0.461883
sharpness,0.08,0.3,0.458900
sharpness,0.08,0.35,0.441133
sharpness,0.08,0.4,0.402583
sharpness,0.08,0.45,0.354700
sharpness,0.08,0.5,0.301750
sharpness,0.08,0.6,0.236967
sharpness,0.08,0.7,0.205067
sharpness,0.08,0.8,0.197550
sharpness,0.15,0.0,0.119117
sharpness,0.15,0.005,0.124900
sharpness,0.15,0.01,0.130700
sharpness,0.15,0.02,0.144883
sharpness,0.15,0.03,0.163333
sharpness,0.15,0.05,0.194317
sharpness,0.15,0.08,0.249867
sharpness,0.15,0.1,0.282550
sharpness,0.15,0.15,0.345833
sharpness,0.15,0.2,0.405667
sharpness,0.15,0.25,0.429517
sharpness,0.15,0.3,0.430050
sharpness,0.15,0.35,0.419367
sharpness,0.15,0.4,0.403533
sharpness,0.15,0.45,0.380150
sharpness,0.15,0.5,0.350367
sharpness,0.15,0.6,0.299467
sharpness,0.15,0.7,0.253750
sharpness,0.15,0.8,0.228883
