contrast,lambda,earned_gain
0.0,0.0,0.123983
0.0,0.005,0.126017
0.0,0.01,0.138717
0.0,0.02,0.154250
0.0,0.03,0.174383
0.0,0.05,0.207983
0.0,0.08,0.272900
0.0,0.1,0.314667
0.0,0.15,0.401800
0.0,0.2,0.478733
0.0,0.25,0.525783
0.0,0.3,0.496950
0.0,0.35,0.476167
0.0,0.4,0.403883
0.0,0.45,0.301233
0.0,0.5,0.225333
0.0,0.6,0.198483
0.0,0.7,0.194100
0.0,0.8,0.191783
0.5,0.0,0.120800
0.5,0.005,0.123450
0.5,0.01,0.131867
0.5,0.02,0.148483
0.5,0.03,0.165467
0.5,0.05,0.204317
0.5,0.08,0.262250
0.5,0.1,0.301100
0.5,0.15,0.383767
0.5,0.2,0.459500
0.5,0.25,0.505400
0.5,0.3,0.496483
0.5,0.35,0.475500
0.5,0.4,0.402333
0.5,0.45,0.301233
0.5,0.5,0.225367
0.5,0.6,0.198600
0.5,0.7,0.194100
0.5,0.8,0.191783
1.0,0.0,0.119217
1.0,0.005,0.125483
1.0,0.01,0.133517
1.0,0.02,0.146950
1.0,0.03,0.169017
1.0,0.05,0.197417
1.0,0.08,0.258400
1.0,0.1,0.295883
1.0,0.15,0.372317
1.0,0.2,0.442383
1.0,0.25,0.483000
1.0,0.3,0.495733
1.0,0.35,0.476367
1.0,0.4,0.403567
1.0,0.45,0.301617
1.0,0.5,0.226133
1.0,0.6,0.198817
1.0,0.7,0.194183
1.0,0.8,0.191783
1.25,0.0,0.119750
1.25,0.005,0.124300
1.25,0.01,0.132467
1.25,0.02,0.147317
1.25,0.03,0.163983
1.25,0.05,0.194933
1.25,0.08,0.249933
1.25,0.1,0.288417
1.25,0.15,0.361250
1.25,0.2,0.430250
1.25,0.25,0.470183
1.25,0.3,0.496433
1.25,0.35,0.476233
1.25,0.4,0.402617
1.25,0.45,0.301067
1.25,0.5,0.226133
1.25,0.6,0.198817
1.25,0.7,0.194183
1.25,0.8,0.191733
1.5,0.0,0.117817
1.5,0.005,0.123950
1.5,0.01,0.130617
1.5,0.02,0.144800
1.5,0.03,0.162100
1.5,0.05,0.194417
1.5,0.08,0.245750
1.5,0.1,0.284567
1.5,0.15,0.353417
1.5,0.2,0.420783
1.5,0.25,0.456683
1.5,0.3,0.496467
1.5,0.35,0.475800
1.5,0.4,0.403417
1.5,0.45,0.301433
1.5,0.5,0.226583
1.5,0.6,0.199033
1.5,0.7,0.194500
1.5,0.8,0.191733
2.0,0.0,0.117700
2.0,0.005,0.121000
2.0,0.01,0.127900
2.0,0.02,0.143633
2.0,0.03,0.158000
2.0,0.05,0.188717
2.0,0.08,0.233000
2.0,0.1,0.271833
2.0,0.15,0.332517
2.0,0.2,0.396317
2.0,0.25,0.426983
2.0,0.3,0.495317
2.0,0.35,0.475850
2.0,0.4,0.403783
2.0,0.45,0.301667
2.0,0.5,0.228083
2.0,0.6,0.199367
2.0,0.7,0.194967
2.0,0.8,0.191733
