lambda,seed,alr,earned_gain,leak_solve_rate,dependency,mean_turns,mi_hat,never_solved_rate,mean_final_mastery
0.0,0,0.846094,0.129167,0.647135,0.169219,0.728125,3.000000,0.223698,0.488274
0.0,1,0.844792,0.121354,0.628125,0.168958,0.733333,3.000000,0.250521,0.475638
0.0,2,0.856771,0.112240,0.650781,0.171354,0.728385,3.000000,0.236979,0.477493
0.0,3,0.845052,0.126823,0.644531,0.169010,0.760417,3.000000,0.228646,0.484504
0.0,4,0.846094,0.126042,0.645052,0.169219,0.743229,3.000000,0.228906,0.477344
0.0,5,0.860677,0.114583,0.650781,0.172135,0.712240,3.000000,0.234635,0.476419
0.0,6,0.836979,0.132292,0.640365,0.167396,0.759635,3.000000,0.227344,0.487340
0.0,7,0.861719,0.111198,0.663021,0.172344,0.717969,3.000000,0.225781,0.480627
0.0,8,0.854948,0.111979,0.643490,0.170990,0.739323,3.000000,0.244531,0.469319
0.0,9,0.852083,0.119531,0.652604,0.170417,0.712760,3.000000,0.227865,0.481833
0.0,10,0.858333,0.114323,0.670312,0.171667,0.714583,3.000000,0.215365,0.483691
0.0,11,0.856250,0.117448,0.654687,0.171250,0.760417,3.000000,0.227865,0.481920
0.0,12,0.844792,0.123958,0.645573,0.168958,0.753125,3.000000,0.230469,0.483554
0.0,13,0.837760,0.128385,0.642969,0.167552,0.760156,3.000000,0.228646,0.491645
0.0,14,0.861198,0.111719,0.651563,0.172240,0.726302,3.000000,0.236719,0.479185
0.0,15,0.854167,0.122917,0.647656,0.170833,0.744271,3.000000,0.229427,0.484559
0.005,0,0.844792,0.124219,0.645573,0.168958,0.776563,3.000000,0.230208,0.477250
0.005,1,0.843229,0.129427,0.650260,0.168646,0.762500,3.000000,0.220312,0.487501
0.005,2,0.847656,0.122656,0.649219,0.169531,0.757031,3.000000,0.228125,0.486496
0.005,3,0.845313,0.122917,0.637240,0.169063,0.769010,3.000000,0.239844,0.484972
0.005,4,0.845052,0.128646,0.640104,0.169010,0.760417,3.000000,0.231250,0.484943
0.005,5,0.828385,0.131771,0.619792,0.165677,0.796354,3.000000,0.248438,0.483875
0.005,6,0.845573,0.119271,0.658073,0.169115,0.780990,3.000000,0.222656,0.483151
0.005,7,0.836979,0.126562,0.652865,0.167396,0.785937,3.000000,0.220573,0.483298
0.005,8,0.847135,0.127344,0.645833,0.169427,0.739844,3.000000,0.226823,0.483294
0.005,9,0.850000,0.120052,0.649219,0.170000,0.763021,3.000000,0.230729,0.484017
0.005,10,0.838802,0.128125,0.629167,0.167760,0.780208,3.000000,0.242708,0.478208
0.005,11,0.834375,0.129688,0.644792,0.166875,0.809635,3.000000,0.225521,0.483558
0.005,12,0.836198,0.122135,0.635677,0.167240,0.793229,3.000000,0.242188,0.474847
0.005,13,0.846615,0.119271,0.633333,0.169323,0.770833,3.000000,0.247396,0.482892
0.005,14,0.832292,0.135156,0.634635,0.166458,0.774740,3.000000,0.230208,0.483527
0.005,15,0.838281,0.128646,0.647656,0.167656,0.780729,3.000000,0.223698,0.489200
0.01,0,0.832812,0.132031,0.628646,0.166563,0.819271,3.000000,0.239323,0.485273
0.01,1,0.828125,0.135156,0.626563,0.165625,0.835938,3.000000,0.238281,0.485672
0.01,2,0.835156,0.124479,0.636979,0.167031,0.837760,3.000000,0.238542,0.482958
0.01,3,0.833073,0.132552,0.647656,0.166615,0.803125,3.000000,0.219792,0.497187
0.01,4,0.833594,0.127083,0.641667,0.166719,0.825260,3.000000,0.231250,0.482481
0.01,5,0.828385,0.137500,0.639583,0.165677,0.833594,3.000000,0.222917,0.493199
0.01,6,0.831510,0.137760,0.638542,0.166302,0.798958,3.000000,0.223698,0.494234
0.01,7,0.836979,0.129688,0.639844,0.167396,0.807552,3.000000,0.230469,0.486682
0.01,8,0.829688,0.138802,0.626823,0.165938,0.834115,3.000000,0.234375,0.484655
0.01,9,0.832552,0.132552,0.632031,0.166510,0.831510,3.000000,0.235417,0.480568
0.01,10,0.820833,0.143229,0.643229,0.164167,0.846354,3.000000,0.213542,0.501517
0.01,11,0.836198,0.127083,0.635677,0.167240,0.804167,3.000000,0.237240,0.481146
0.01,12,0.834115,0.133854,0.638542,0.166823,0.803385,3.000000,0.227604,0.494327
0.01,13,0.834635,0.128125,0.617708,0.166927,0.819792,3.000000,0.254167,0.481310
0.01,14,0.838802,0.126823,0.635938,0.167760,0.779427,3.000000,0.237240,0.474836
0.01,15,0.829948,0.132812,0.636719,0.165990,0.817448,3.000000,0.230469,0.492597
0.02,0,0.808594,0.151302,0.632031,0.161719,0.879167,3.000000,0.216667,0.496798
0.02,1,0.808854,0.143490,0.612500,0.161771,0.895312,3.000000,0.244010,0.497041
0.02,2,0.817187,0.144010,0.618750,0.163438,0.857812,3.000000,0.237240,0.490279
0.02,3,0.802604,0.155469,0.601562,0.160521,0.894792,3.000000,0.242969,0.495710
0.02,4,0.798438,0.154948,0.624479,0.159688,0.938542,3.000000,0.220573,0.497203
0.02,5,0.803646,0.149219,0.606510,0.160729,0.909115,3.000000,0.244271,0.487716
0.02,6,0.816667,0.140104,0.632812,0.163333,0.879687,3.000000,0.227083,0.488395
0.02,7,0.801042,0.157292,0.617969,0.160208,0.905469,3.000000,0.224740,0.501974
0.02,8,0.814844,0.146875,0.630208,0.162969,0.878906,3.000000,0.222917,0.497275
0.02,9,0.806771,0.150521,0.623437,0.161354,0.900000,3.000000,0.226042,0.503488
0.02,10,0.813021,0.142187,0.611979,0.162604,0.886979,3.000000,0.245833,0.484830
0.02,11,0.802344,0.152604,0.624740,0.160469,0.903646,3.000000,0.222656,0.496183
0.02,12,0.811458,0.146875,0.626563,0.162292,0.892448,3.000000,0.226562,0.492092
0.02,13,0.812500,0.147656,0.628125,0.162500,0.878385,3.000000,0.224219,0.494901
0.02,14,0.809115,0.148958,0.633594,0.161823,0.878906,3.000000,0.217448,0.497903
0.02,15,0.811979,0.147917,0.617188,0.162396,0.859115,3.000000,0.234896,0.496225
0.03,0,0.784896,0.166927,0.614583,0.156979,0.960417,3.000000,0.218490,0.509856
0.03,1,0.770052,0.176042,0.594271,0.154010,1.001302,3.000000,0.229687,0.502741
0.03,2,0.784115,0.163802,0.594531,0.156823,0.977604,3.000000,0.241667,0.492317
0.03,3,0.803646,0.149219,0.592187,0.160729,0.950000,3.000000,0.258594,0.483711
0.03,4,0.770052,0.172396,0.606510,0.154010,1.028385,3.000000,0.221094,0.500400
0.03,5,0.776302,0.170052,0.603646,0.155260,0.982031,3.000000,0.226302,0.513179
0.03,6,0.786458,0.163021,0.608854,0.157292,1.001823,3.000000,0.228125,0.501729
0.03,7,0.777604,0.171094,0.588281,0.155521,0.949219,3.000000,0.240625,0.514397
0.03,8,0.775260,0.167448,0.592708,0.155052,1.020052,3.000000,0.239844,0.498593
0.03,9,0.779427,0.162500,0.603125,0.155885,0.981510,3.000000,0.234375,0.498778
0.03,10,0.774219,0.172917,0.585156,0.154844,0.978646,3.000000,0.241927,0.501554
0.03,11,0.790365,0.159115,0.601823,0.158073,0.956250,3.000000,0.239063,0.499030
0.03,12,0.776563,0.174740,0.589844,0.155312,0.985156,3.000000,0.235417,0.504291
0.03,13,0.783594,0.165885,0.607812,0.156719,0.994531,3.000000,0.226302,0.505407
0.03,14,0.775781,0.172135,0.597396,0.155156,0.967187,3.000000,0.230469,0.503842
0.03,15,0.784635,0.169271,0.607031,0.156927,0.953906,3.000000,0.223698,0.503820
0.05,0,0.720833,0.196354,0.568750,0.144167,1.168229,3.000000,0.234896,0.514145
0.05,1,0.717969,0.205208,0.562240,0.143594,1.145312,3.000000,0.232552,0.523690
0.05,2,0.719271,0.197396,0.561458,0.143854,1.187500,3.000000,0.241146,0.519819
0.05,3,0.710156,0.219531,0.555729,0.142031,1.157292,3.000000,0.224740,0.533524
0.05,4,0.720052,0.204687,0.553646,0.144010,1.176562,3.000000,0.241667,0.516658
0.05,5,0.728906,0.198958,0.566146,0.145781,1.138281,3.000000,0.234896,0.510480
0.05,6,0.721354,0.205729,0.558594,0.144271,1.169531,3.000000,0.235677,0.515722
0.05,7,0.728125,0.200781,0.565104,0.145625,1.152865,3.000000,0.234115,0.523816
0.05,8,0.713281,0.209635,0.548958,0.142656,1.176562,3.000000,0.241406,0.514311
0.05,9,0.726823,0.207813,0.567969,0.145365,1.129427,3.000000,0.224219,0.515778
0.05,10,0.727865,0.201823,0.560417,0.145573,1.165885,3.000000,0.237760,0.507974
0.05,11,0.727604,0.205729,0.560937,0.145521,1.149740,3.000000,0.233333,0.520503
0.05,12,0.727865,0.203906,0.560677,0.145573,1.145833,3.000000,0.235417,0.512750
0.05,13,0.717708,0.210417,0.547656,0.143542,1.145833,3.000000,0.241927,0.513993
0.05,14,0.741927,0.188281,0.568229,0.148385,1.135677,3.000000,0.243490,0.507688
0.05,15,0.724479,0.205208,0.567187,0.144896,1.111979,3.000000,0.227604,0.516158
0.08,0,0.634896,0.258333,0.495833,0.126979,1.410937,3.000000,0.245833,0.538383
0.08,1,0.638281,0.258333,0.494792,0.127656,1.398958,3.000000,0.246875,0.529809
0.08,2,0.633594,0.266406,0.495833,0.126719,1.411719,3.000000,0.237760,0.536454
0.08,3,0.621615,0.259375,0.473438,0.124323,1.439062,3.000000,0.267188,0.540679
0.08,4,0.628646,0.258333,0.498698,0.125729,1.436979,3.000000,0.242969,0.535859
0.08,5,0.633073,0.254167,0.501823,0.126615,1.447135,3.000000,0.244010,0.531722
0.08,6,0.617448,0.267708,0.488802,0.123490,1.431510,3.000000,0.243490,0.545084
0.08,7,0.643750,0.254688,0.498698,0.128750,1.412500,3.000000,0.246615,0.528101
0.08,8,0.642188,0.246875,0.493750,0.128437,1.425260,3.000000,0.259375,0.524265
0.08,9,0.633854,0.257292,0.488281,0.126771,1.445052,3.000000,0.254427,0.534295
0.08,10,0.641667,0.248698,0.496094,0.128333,1.425781,3.000000,0.255208,0.532460
0.08,11,0.641927,0.242188,0.490625,0.128385,1.436458,3.000000,0.267188,0.519961
0.08,12,0.629167,0.260677,0.488802,0.125833,1.403906,3.000000,0.250521,0.535744
0.08,13,0.628125,0.267188,0.483073,0.125625,1.405469,3.000000,0.249740,0.537467
0.08,14,0.632292,0.255729,0.495573,0.126458,1.437500,3.000000,0.248698,0.534266
0.08,15,0.631250,0.256510,0.491667,0.126250,1.423958,3.000000,0.251823,0.533500
0.1,0,0.577344,0.274219,0.453646,0.115469,1.608854,3.000000,0.272135,0.534185
0.1,1,0.551042,0.299479,0.428906,0.110208,1.618490,3.000000,0.271615,0.545640
0.1,2,0.541406,0.315885,0.419792,0.108281,1.645312,3.000000,0.264323,0.549810
0.1,3,0.568490,0.297135,0.442448,0.113698,1.583854,3.000000,0.260417,0.544106
0.1,4,0.563542,0.291406,0.433073,0.112708,1.629167,3.000000,0.275521,0.543694
0.1,5,0.552344,0.302865,0.428906,0.110469,1.618750,3.000000,0.268229,0.549642
0.1,6,0.565625,0.297135,0.440104,0.113125,1.619271,3.000000,0.262760,0.545991
0.1,7,0.576562,0.284635,0.454948,0.115312,1.594531,3.000000,0.260417,0.541270
0.1,8,0.556771,0.302083,0.430990,0.111354,1.617448,3.000000,0.266927,0.548514
0.1,9,0.558854,0.300260,0.428906,0.111771,1.629948,3.000000,0.270833,0.544185
0.1,10,0.569010,0.279687,0.450000,0.113802,1.648958,3.000000,0.270313,0.545095
0.1,11,0.571094,0.289844,0.447396,0.114219,1.591146,3.000000,0.262760,0.543719
0.1,12,0.558333,0.300260,0.434896,0.111667,1.632812,3.000000,0.264844,0.548823
0.1,13,0.554167,0.295573,0.432292,0.110833,1.628385,3.000000,0.272135,0.541431
0.1,14,0.561198,0.293750,0.445052,0.112240,1.598177,3.000000,0.261198,0.544658
0.1,15,0.558073,0.300521,0.438021,0.111615,1.630729,3.000000,0.261458,0.542459
0.15,0,0.380990,0.385417,0.304167,0.076198,2.043229,3.000000,0.310417,0.597678
0.15,1,0.378125,0.379948,0.294792,0.075625,2.060677,3.000000,0.325260,0.597363
0.15,2,0.372396,0.380729,0.289583,0.074479,2.096615,3.000000,0.329688,0.593180
0.15,3,0.391146,0.375260,0.314844,0.078229,2.057292,3.000000,0.309896,0.591841
0.15,4,0.397917,0.371094,0.308594,0.079583,2.021094,3.000000,0.320312,0.590203
0.15,5,0.396094,0.366406,0.315625,0.079219,2.082813,3.000000,0.317969,0.590378
0.15,6,0.388542,0.378646,0.304688,0.077708,2.078906,3.000000,0.316667,0.588564
0.15,7,0.390365,0.385156,0.311719,0.078073,2.028385,3.000000,0.303125,0.599323
0.15,8,0.392448,0.382031,0.305469,0.078490,2.062500,3.000000,0.312500,0.590195
0.15,9,0.386979,0.382292,0.304427,0.077396,2.068490,3.000000,0.313281,0.594706
0.15,10,0.388802,0.372135,0.311979,0.077760,2.075260,3.000000,0.315885,0.596810
0.15,11,0.394010,0.373698,0.315365,0.078802,2.049740,3.000000,0.310937,0.595366
0.15,12,0.388281,0.377604,0.304427,0.077656,2.051042,3.000000,0.317969,0.596956
0.15,13,0.388281,0.380990,0.308854,0.077656,2.053125,3.000000,0.310156,0.593934
0.15,14,0.407031,0.371615,0.325260,0.081406,2.025260,3.000000,0.303125,0.592660
0.15,15,0.394792,0.380990,0.310417,0.078958,2.039323,3.000000,0.308594,0.599581
0.2,0,0.250781,0.458854,0.204427,0.050156,2.357292,3.000000,0.336719,0.620404
0.2,1,0.250781,0.445833,0.204948,0.050156,2.391146,3.000000,0.349219,0.614592
0.2,2,0.247656,0.447656,0.199479,0.049531,2.384115,3.000000,0.352865,0.613682
0.2,3,0.258073,0.447656,0.199479,0.051615,2.360677,3.000000,0.352865,0.615530
0.2,4,0.250521,0.451823,0.197656,0.050104,2.366146,3.000000,0.350521,0.618841
0.2,5,0.260937,0.442188,0.208594,0.052187,2.386198,3.000000,0.349219,0.612918
0.2,6,0.248177,0.435156,0.195312,0.049635,2.389323,3.000000,0.369531,0.612380
0.2,7,0.235677,0.437240,0.189583,0.047135,2.433333,3.000000,0.373177,0.610867
0.2,8,0.245573,0.453906,0.189844,0.049115,2.369531,3.000000,0.356250,0.614267
0.2,9,0.253906,0.434375,0.194010,0.050781,2.372135,3.000000,0.371615,0.605835
0.2,10,0.266667,0.429427,0.223177,0.053333,2.365365,3.000000,0.347396,0.611574
0.2,11,0.246094,0.450260,0.201302,0.049219,2.380208,3.000000,0.348438,0.623906
0.2,12,0.240885,0.456250,0.191667,0.048177,2.392969,3.000000,0.352083,0.620471
0.2,13,0.239844,0.436198,0.188542,0.047969,2.432031,3.000000,0.375260,0.607768
0.2,14,0.240885,0.451302,0.195573,0.048177,2.391146,3.000000,0.353125,0.616363
0.2,15,0.243229,0.445573,0.196615,0.048646,2.390104,3.000000,0.357812,0.617223
0.25,0,0.147135,0.489323,0.117448,0.029427,2.619010,3.000000,0.393229,0.628278
0.25,1,0.146094,0.500521,0.116146,0.029219,2.609635,3.000000,0.383333,0.626522
0.25,2,0.147917,0.497135,0.119271,0.029583,2.598177,3.000000,0.383594,0.628806
0.25,3,0.150000,0.482031,0.120052,0.030000,2.634375,3.000000,0.397917,0.624360
0.25,4,0.148438,0.500781,0.116667,0.029688,2.602344,3.000000,0.382552,0.630940
0.25,5,0.146354,0.501563,0.117188,0.029271,2.622135,3.000000,0.381250,0.629273
0.25,6,0.153125,0.487760,0.121615,0.030625,2.610156,3.000000,0.390625,0.623512
0.25,7,0.157031,0.490104,0.126823,0.031406,2.573958,3.000000,0.383073,0.627780
0.25,8,0.143750,0.498437,0.115104,0.028750,2.644271,3.000000,0.386458,0.626381
0.25,9,0.145313,0.505990,0.117448,0.029063,2.563542,3.000000,0.376563,0.637748
0.25,10,0.144531,0.497656,0.116927,0.028906,2.609375,3.000000,0.385417,0.632780
0.25,11,0.150781,0.485677,0.123177,0.030156,2.599219,3.000000,0.391146,0.625743
0.25,12,0.144271,0.476562,0.114583,0.028854,2.606771,3.000000,0.408854,0.623618
0.25,13,0.142969,0.490104,0.111719,0.028594,2.654167,3.000000,0.398177,0.627000
0.25,14,0.144271,0.482812,0.116406,0.028854,2.627865,3.000000,0.400781,0.626095
0.25,15,0.136979,0.505729,0.109635,0.027396,2.629948,3.000000,0.384635,0.633195
0.3,0,0.078646,0.511719,0.062240,0.015729,2.721615,3.000000,0.426042,0.709517
0.3,1,0.081771,0.499219,0.067448,0.016354,2.745312,3.000000,0.433333,0.715307
0.3,2,0.076563,0.512500,0.065365,0.015313,2.704167,3.000000,0.422135,0.714741
0.3,3,0.079948,0.504427,0.066927,0.015990,2.732031,3.000000,0.428646,0.715863
0.3,4,0.088281,0.505208,0.071875,0.017656,2.711458,3.000000,0.422917,0.714889
0.3,5,0.085156,0.504427,0.069271,0.017031,2.718229,3.000000,0.426302,0.714133
0.3,6,0.086458,0.501302,0.070573,0.017292,2.739323,3.000000,0.428125,0.710882
0.3,7,0.083073,0.503906,0.070573,0.016615,2.723438,3.000000,0.425521,0.717151
0.3,8,0.087500,0.497656,0.073958,0.017500,2.700521,3.000000,0.428385,0.707447
